size,pivot,partition,callback,time
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
10000,Median of 3,Lomuto,Insertion Sort,0.000594
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
20000,First Value,Lomuto,Insertion Sort,0.001266
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
30000,First Value,Lomuto,Insertion Sort,0.00199
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
40000,First Value,Lomuto,Insertion Sort,0.0026190000000000002
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
50000,First Value,Lomuto,Insertion Sort,0.003389
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
60000,First Value,Lomuto,Insertion Sort,0.004113
