size,pivot,partition,callback,time
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
10000,Random value,Hoare,No Callback,0.0008550000000000001
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
20000,Random value,Hoare,No Callback,0.001789
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
30000,Random value,Hoare,No Callback,0.002702
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
40000,Random value,Hoare,No Callback,0.003704
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
50000,Random value,Hoare,No Callback,0.0047079999999999995
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
60000,Random value,Hoare,No Callback,0.005649
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
70000,Random value,Hoare,No Callback,0.006615
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
80000,Random value,Hoare,No Callback,0.00757
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
90000,Random value,Hoare,No Callback,0.00863
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
100000,Random value,Hoare,No Callback,0.009511
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
110000,Random value,Hoare,No Callback,0.010894
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
